ConfigHash,CommitSHA,Seed,Condition,Acyclic,RootReachable,OrphanCount,DuplicateBridgeCount,LeafCount,BridgeCount,BridgeRatio,TotalNodes,ResidualCount,WeightedLeafPurity,DendrogramPurity,SphericalSilhouette,TotalDasguptaCost,NormalisedSackinIndex,SourceA_Count,SourceB_Count,RoutingECE,BrierScore,AvgMatchCount,NoMatchRate,MaxAssignmentCapRate,Top1Accuracy,AnyMatchAccuracy,MacroF1,BorderlineRate,SoftDegreeMean,EntropyGuardRate,SoftEffSampleSize,CrossAnchorMigrationRate,CanonicalAdaptedJaccard,CanonicalAdaptedSymDiffMass,RhoCanonicalHard,RhoAdaptedHard,RhoAdaptedSoft,DeltaRhoGeom,DeltaRhoSoft,DeltaRhoTotal,SmallLeafFraction,KappaShrinkageMean,SelectedNodeP10QueryCount,SelectedNodeStarvedLeafFraction,SelectedNodeLeafBalanceEntropy,SourceBBridgeCount,SourceBDepth2Count,SourceBPerAnchorMean,BridgeStabilityScore
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,2048,WARD_BASELINE,true,true,0,0,78,0,0.0000,79,0,0.7455661664392906,0.17090840272615812,0.10939996497333407,2.434873977702177E10,1.0,0,0,0.9227417949462677,1.8454835898925355,1.0,0.0,0.0,0.07444444444444444,0.07444444444444444,0.08383622812010753,0.0,0.0,0.0,3600.0,0.9255555555555556,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,4.203125528228854,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,2048,RANDOMNULL_BASELINE,true,true,0,0,78,0,0.0000,122,0,0.13966575716234653,0.08601237317746346,0.008007967432991293,2.334207601014697E10,2.9358974358974357,0,0,0.5189564909725531,1.0878146973112883,0.4330555555555556,0.7533333333333333,0.0,0.03638888888888889,0.045,0.040502686414070746,0.18861111111111112,2.0427098674521353,0.8321060382916053,3683.5629357555777,0.2088888888888889,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,4.150683411818317,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,7,MAIN,true,true,0,0,63,0,0.0000,95,0,0.7256396298312466,0.4678871536352841,0.11483916951647646,6.394802384626118E10,2.7936507936507935,0,0,0.4127768052026895,1.007647481104216,0.26574202496532595,0.8030513176144244,0.0,0.06463245492371705,0.06490984743411927,0.08099304783975995,0.18723994452149792,2.04,0.8385185185185186,3685.3156014107476,0.11927877947295423,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,3.895560994090544,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,7,KMEANS_BASELINE,true,true,0,0,63,0,0.0000,64,0,0.7343110504774898,0.18096598386573703,0.10568126995513918,2.4366638297918938E10,1.0,0,0,0.2869916354196712,0.5739832708393424,1.0,0.0,0.0,0.715117891816921,0.715117891816921,0.6815791497802267,0.0,0.0,0.0,3605.0,0.2848821081830791,0.12933753943217666,0.8706624605678234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,4.036381717872963,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,7,WARD_BASELINE,true,true,0,0,63,0,0.0000,64,0,0.7406207366984994,0.18699377372539186,0.10462878744814803,2.4241327027725113E10,1.0,0,0,0.9117392558407845,1.823478511681569,1.0,0.0,0.0,0.09431345353675451,0.09431345353675451,0.09657794305543908,0.0,0.0,0.0,3605.0,0.9056865464632455,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,4.009016509862935,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,7,RANDOMNULL_BASELINE,true,true,0,0,63,0,0.0000,95,0,0.13591405184174624,0.0856618985189463,0.008696500433005664,2.3044839080404118E10,2.7936507936507935,0,0,0.56227750945332,1.1483178819878126,0.6504854368932039,0.6416088765603328,0.0,0.03855755894590846,0.05131761442441054,0.04031953919518548,0.26879334257975035,2.1424148606811144,0.8617131062951496,3705.0461752559045,0.3187239944521498,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,3.895560994090544,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,31337,MAIN,true,true,0,0,76,0,0.0000,121,0,0.7362050163576881,0.4713067270789529,0.11943361882208604,6.506666577459843E10,3.1447368421052633,0,0,0.4838873188418836,1.0679056033197494,0.359632004460552,0.7354335098968497,0.0,0.053805408419291885,0.053805408419291885,0.060852357732615284,0.26317256760524116,2.1504237288135593,0.8485169491525424,3694.4980693399866,0.1820462782269306,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,4.078847221460116,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,31337,KMEANS_BASELINE,true,true,0,0,76,0,0.0000,77,0,0.7589682268534336,0.16837390778243783,0.10982671986041899,2.424630957321122E10,1.0,0,0,0.2558072009291521,0.5116144018583043,1.0,0.0,0.0,0.7437970448843044,0.7437970448843044,0.7228089296811572,0.0,0.0,0.0,3587.0,0.2562029551156956,0.10444159668448032,0.8955584033155197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,4.234864840208116,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,31337,WARD_BASELINE,true,true,0,0,76,0,0.0000,77,0,0.7569183464297916,0.1702924696918279,0.10827021518024318,2.4241537191360435E10,1.0,0,0,0.9279907084785134,1.8559814169570268,1.0,0.0,0.0,0.0719264008921104,0.0719264008921104,0.0629582258605413,0.0,0.0,0.0,3587.0,0.9280735991078896,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,4.213990268036446,0,0,0.0,NA
0ae978b3,1590b0ab79cfb7e2d830534a1022d4b2babf449c,31337,RANDOMNULL_BASELINE,true,true,0,0,76,0,0.0000,121,0,0.14366245302357364,0.0852129633660492,0.009155763002030564,2.2871279558137726E10,3.1447368421052633,0,0,0.6286032893230135,1.144346708061,0.4881516587677725,0.7187064399219404,0.0,0.016727069974909393,0.02313911346529133,0.015910219363378598,0.20183997769724005,2.0455801104972378,0.81353591160221,3686.2527371311844,0.2628937831056593,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,4.078847221460116,0,0,0.0,NA
