question_id,domain,ll_T,ll_B,ll_P,dB,dP,dBP,top1_T,top1_B,top1_P,affected_B,affected_P
-1001590,Law,419.75573343,419.74931457,419.75512445,-0.0064188599999965845,-0.0006089800000381729,-0.005809879999958412,n00000200,n00000200,n00000200,1,1
-1001588,Law,394.8397533,394.83969676,394.82444635,-5.6540000002769375e-05,-0.0153069499999674,0.015250409999964631,n00000201,n00000201,n00000201,1,1
-1001584,Law,393.36302516,393.36249254,393.36302516,-0.0005326200000013159,0.0,-0.0005326200000013159,n00000198,n00000198,n00000198,1,0
-1001509,Law,395.0804107,395.08010864,395.0804107,-0.00030206000002408473,0.0,-0.00030206000002408473,n00000198,n00000198,n00000198,1,0
-1001503,Law,405.31203761,405.31203761,405.31203761,0.0,0.0,0.0,n00000235,n00000235,n00000235,0,0
-1001500,Law,416.86812784,416.86809742,416.86812744,-3.0419999973219092e-05,-3.9999997625272954e-07,-3.0019999996966362e-05,n00000200,n00000200,n00000200,1,1
-1001496,Law,382.06112613,382.04351139,383.00310549,-0.017614739999999074,0.9419793600000048,-0.9595941000000039,n00000199,n00000199,n00000199,1,1
-1001395,Law,401.47846976,401.35088224,401.47846976,-0.12758752000002005,0.0,-0.12758752000002005,n00000142,n00000142,n00000142,1,0
-1001332,Law,406.80984012,406.80984012,406.80984011,0.0,-1.0000007932831068e-08,1.0000007932831068e-08,n00000234,n00000234,n00000234,0,1
-1001325,Law,382.03841075,382.03753152,382.03390374,-0.0008792300000095565,-0.0045070099999975355,0.003627779999987979,n00000078,n00000078,n00000078,1,1
-1001322,Law,388.67056214,388.63721602,389.24866911,-0.0333461200000329,0.5781069699999648,-0.6114530899999977,n00000199,n00000199,n00000199,1,1
-1001320,Law,404.39859048,404.39854928,404.39442115,-4.1199999998298154e-05,-0.004169329999967886,0.0041281299999695875,n00000235,n00000235,n00000235,1,1
-1001318,Law,402.99783318,402.99048733,402.99762541,-0.007345849999978782,-0.0002077699999745164,-0.0071380800000042655,n00000200,n00000200,n00000200,1,1
-1001304,Law,409.64096091,409.64096091,409.64096091,0.0,0.0,0.0,n00000201,n00000201,n00000201,0,0
-1001296,Law,398.60351913,398.60351863,399.52796196,-4.999999987376214e-07,0.9244428300000322,-0.924443330000031,n00000199,n00000199,n00000199,1,1
-1001243,Law,384.61287965,384.6132623,385.13287543,0.00038264999994908067,0.5199957799999879,-0.5196131300000388,n00000199,n00000199,n00000199,1,1
-1001223,Law,422.71174996,422.71174996,422.71174996,0.0,0.0,0.0,n00000234,n00000234,n00000234,0,0
-1001135,Law,402.90920511,402.9092049,402.90920511,-2.0999999605919584e-07,0.0,-2.0999999605919584e-07,n00000201,n00000201,n00000201,1,0
-1001134,Law,407.34804534,407.34804534,407.34804475,0.0,-5.900000132896821e-07,5.900000132896821e-07,n00000235,n00000235,n00000235,0,1
-1001060,Law,397.00357546,397.00357546,397.00357546,0.0,0.0,0.0,n00000235,n00000235,n00000235,0,0
-1001048,Law,407.25614428,407.25613984,407.25614428,-4.439999997885025e-06,0.0,-4.439999997885025e-06,n00000201,n00000201,n00000201,1,0
-1001046,Law,381.07705187,380.57079141,381.07769123,-0.5062604599999645,0.0006393600000365041,-0.506899820000001,n00000143,n00000143,n00000143,1,1
-1001045,Law,387.31986754,387.63822722,387.31905237,0.31835967999995773,-0.0008151700000098572,0.3191748499999676,n00000198,n00000078,n00000199,1,1
-1000986,Law,415.82758681,415.82758681,415.82758681,0.0,0.0,0.0,n00000234,n00000234,n00000234,0,0
-1000916,Law,411.99012612,411.99012612,411.99012612,0.0,0.0,0.0,n00000201,n00000201,n00000201,0,0
-1000913,Law,411.6428858,411.64288579,411.6428858,-1.0000007932831068e-08,0.0,-1.0000007932831068e-08,n00000201,n00000201,n00000201,1,0
-1000836,Law,391.73058539,391.73046502,391.73058539,-0.00012036999999054387,0.0,-0.00012036999999054387,n00000198,n00000198,n00000198,1,0
-1000827,Law,406.83588736,406.8358868,406.83588736,-5.599999894911889e-07,0.0,-5.599999894911889e-07,n00000201,n00000201,n00000201,1,0
-1000808,Law,382.93954706,382.90467946,382.93954707,-0.03486759999998412,1.0000007932831068e-08,-0.034867609999992055,n00000142,n00000142,n00000142,1,1
-1000358,Business,416.18108052,416.18108052,416.18108052,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
-1000283,Business,385.22878367,385.197775,385.22878366,-0.031008670000005623,-1.0000007932831068e-08,-0.03100865999999769,n00000202,n00000202,n00000202,1,1
-1000250,Business,383.48065342,383.48065342,383.48065342,0.0,0.0,0.0,n00000233,n00000233,n00000233,0,0
-1000049,Business,406.02936169,406.02936169,406.02936169,0.0,0.0,0.0,n00000233,n00000233,n00000233,0,0
-1000025,Business,406.58223338,406.58223338,406.58223338,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
70,Business,390.42490079,390.41802663,390.42490079,-0.0068741599999953,0.0,-0.0068741599999953,n00000142,n00000142,n00000142,1,0
72,Business,377.90118837,377.90110207,377.88179355,-8.63000000208558e-05,-0.019394820000002255,0.0193085199999814,n00000078,n00000078,n00000078,1,1
75,Business,378.6792518,378.67908268,378.67925109,-0.00016911999995272708,-7.099999947968172e-07,-0.00016840999995793027,n00000219,n00000219,n00000219,1,1
78,Business,391.68868897,391.68868897,391.68868897,0.0,0.0,0.0,n00000077,n00000077,n00000077,0,0
79,Business,390.7443853,390.74438517,390.74438526,-1.2999998943996616e-07,-3.999997488790541e-08,-9.000001455206075e-08,n00000077,n00000077,n00000077,1,1
80,Business,376.08054581,376.08054569,376.08045214,-1.199999815071351e-07,-9.367000001248016e-05,9.355000003097302e-05,n00000220,n00000220,n00000220,1,1
98,Business,428.34093268,428.34093268,428.34093268,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
102,Business,405.76113368,405.76113368,405.76113368,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
104,Business,405.01398918,405.01398918,405.01398918,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
105,Business,419.01073365,419.01073365,419.01073365,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
106,Business,415.06977508,415.06977508,415.06977508,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
107,Business,411.15324981,411.15324981,411.15324981,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
111,Business,388.23026139,388.23026138,388.23026139,-1.0000007932831068e-08,0.0,-1.0000007932831068e-08,n00000151,n00000151,n00000151,1,0
122,Business,410.29285884,410.29285884,410.29285884,0.0,0.0,0.0,n00000232,n00000232,n00000232,0,0
126,Business,378.21464395,378.21307962,378.21422827,-0.0015643300000078852,-0.000415680000003249,-0.0011486500000046362,n00000219,n00000219,n00000219,1,1
127,Business,385.51039893,386.46217517,385.51039893,0.9517762400000152,0.0,0.9517762400000152,n00000220,n00000220,n00000220,1,0
129,Business,377.25448815,377.25464405,377.25448581,0.00015590000003840032,-2.3399999804496474e-06,0.00015824000001884997,n00000219,n00000219,n00000219,1,1
132,Business,386.28828539,386.28828539,386.28812195,0.0,-0.00016343999999435255,0.00016343999999435255,n00000078,n00000078,n00000078,0,1
138,Business,431.08769414,431.08769414,431.08769414,0.0,0.0,0.0,n00000151,n00000151,n00000151,0,0
